tick_ts_utc,timeframe,regime,leverage,candle_open_time,candle_close_time,execution_candle_open,btc_close,vol_pred,vol_decile,n_candidates_initial,n_in_band,p_win_max,p_win_min,EV_max,prob_band_min,prob_band_max,decision,reason_no_signal,winner_side,winner_candidate_id,winner_p_win_calibrated,winner_EV_pred,winner_tp_pct,winner_sl_pct,winner_tp_mult,winner_sl_mult,winner_H,winner_p_break_even,winner_edge_over_be,signal_id,position_id,entry_price,entry_price_quality,dry_run,mode
2026-07-02T02:36:40.633518+00:00,15m,bajista,1.0,2026-07-02T02:15:00,2026-07-02T02:30:00+00:00,2026-07-02T02:30:00+00:00,60134.94,0.0035700778951767006,5,10,0,0.4751867651939392,0.3067810535430908,-0.0007325775065897711,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:36:40.633518+00:00,1h,bajista,3.0,2026-07-02T02:15:00,2026-07-02T02:00:00+00:00,2026-07-02T02:00:00+00:00,60134.94,0.008518443013434565,6,10,0,0.49194955825805664,0.4078846275806427,-0.000623409109016818,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:36:40.633518+00:00,4h,bajista,2.0,2026-07-02T02:15:00,2026-07-02T00:00:00+00:00,2026-07-02T00:00:00+00:00,60134.94,0.015933978647199053,5,10,0,0.49909529089927673,0.3861124515533447,-0.0006875857995492049,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:41:45.283842+00:00,15m,bajista,1.0,2026-07-02T02:15:00,2026-07-02T02:30:00+00:00,2026-07-02T02:30:00+00:00,60134.94,0.0035700778951767006,5,10,0,0.4751867651939392,0.3067810535430908,-0.0007325775065897711,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:41:45.283842+00:00,1h,bajista,3.0,2026-07-02T02:15:00,2026-07-02T02:00:00+00:00,2026-07-02T02:00:00+00:00,60134.94,0.008518443013434565,6,10,0,0.49194955825805664,0.4078846275806427,-0.000623409109016818,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:41:45.283842+00:00,4h,bajista,2.0,2026-07-02T02:15:00,2026-07-02T00:00:00+00:00,2026-07-02T00:00:00+00:00,60134.94,0.015933978647199053,5,10,0,0.49909529089927673,0.3861124515533447,-0.0006875857995492049,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:46:38.009000+00:00,15m,bajista,1.0,2026-07-02T02:30:00,2026-07-02T02:45:00+00:00,2026-07-02T02:45:00+00:00,60335.11,0.00359771553038722,5,10,0,0.4751867651939392,0.3067810535430908,-0.0007325775065897711,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:46:38.009000+00:00,4h,bajista,2.0,2026-07-02T02:30:00,2026-07-02T00:00:00+00:00,2026-07-02T00:00:00+00:00,60335.11,0.016073911315680724,5,10,0,0.49909529089927673,0.3861124515533447,-0.0010484087012292223,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:51:44.606401+00:00,15m,bajista,1.0,2026-07-02T02:30:00,2026-07-02T02:45:00+00:00,2026-07-02T02:45:00+00:00,60335.11,0.00359771553038722,5,10,0,0.4751867651939392,0.3067810535430908,-0.0007325775065897711,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:51:44.606401+00:00,4h,bajista,2.0,2026-07-02T02:30:00,2026-07-02T00:00:00+00:00,2026-07-02T00:00:00+00:00,60335.11,0.016073911315680724,5,10,0,0.49909529089927673,0.3861124515533447,-0.0010484087012292223,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:56:35.597829+00:00,15m,bajista,1.0,2026-07-02T02:30:00,2026-07-02T02:45:00+00:00,2026-07-02T02:45:00+00:00,60335.11,0.00359771553038722,5,10,0,0.4751867651939392,0.3067810535430908,-0.0007325775065897711,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
2026-07-02T02:56:35.597829+00:00,4h,bajista,2.0,2026-07-02T02:30:00,2026-07-02T00:00:00+00:00,2026-07-02T00:00:00+00:00,60335.11,0.016073911315680724,5,10,0,0.49909529089927673,0.3861124515533447,-0.0010484087012292223,0.55,1.0,NO,NO_CANDIDATE_IN_PROB_BAND,,,,,,,,,,,,,,,,False,closed_candle_only
